sparsity,length,time_create_append,time_get_at_rank,time_get_at_index,time_num_elem_at,space,saving
0.010000,5000,0.000382,0.000027,0.000035,0.000124,4560,158688
0.010000,10000,0.000813,0.000027,0.000034,0.000114,8744,316416
0.010000,15000,0.001250,0.000027,0.000034,0.002111,12760,475328
0.010000,20000,0.001831,0.000028,0.000033,0.000115,15928,634176
0.010000,25000,0.002293,0.000028,0.000035,0.000118,20248,792512
0.010000,30000,0.003039,0.000027,0.000035,0.000122,24624,950688
0.010000,35000,0.003240,0.000028,0.000034,0.000099,29280,1109600
0.010000,40000,0.004044,0.000027,0.000034,0.000100,34720,1266528
0.010000,45000,0.005057,0.000028,0.000034,0.000099,38720,1425376
0.010000,50000,0.005409,0.000028,0.000035,0.000099,42120,1585024
0.010000,55000,0.008325,0.000028,0.000035,0.000098,46776,1742912
0.010000,60000,0.007178,0.000027,0.000035,0.000098,51880,1900288
0.010000,65000,0.008340,0.000028,0.000037,0.000099,56600,2058176
0.010000,70000,0.011432,0.000028,0.000036,0.000121,58016,2217056
0.010000,75000,0.010398,0.000031,0.000037,0.000120,62568,2374912
0.010000,80000,0.010964,0.000029,0.000036,0.000120,64968,2535552
0.010000,85000,0.014308,0.000028,0.000036,0.000121,70112,2692704
0.010000,90000,0.012940,0.000028,0.000037,0.000131,72872,2852864
0.010000,95000,0.016656,0.000028,0.000036,0.000120,77280,3010912
0.010000,100000,0.016017,0.000033,0.000039,0.000121,81584,3169184
0.010000,105000,0.019180,0.000029,0.000037,0.000121,86096,3327264
0.010000,110000,0.021456,0.000031,0.000037,0.000122,93680,3482624
0.010000,115000,0.019398,0.000028,0.000036,0.000121,95536,3643712
0.010000,120000,0.023469,0.000032,0.000039,0.000207,100272,3801920
0.010000,125000,0.025952,0.000029,0.000040,0.000122,105328,3959872
0.010000,130000,0.026509,0.000033,0.000039,0.000122,109680,4118400
0.010000,135000,0.027531,0.000031,0.000040,0.000121,109840,4276768
0.010000,140000,0.028246,0.000031,0.000039,0.000122,114256,4435104
0.010000,145000,0.028877,0.000031,0.000041,0.000121,118672,4593504
0.010000,150000,0.030000,0.000028,0.000038,0.000120,121232,4753696
0.010000,155000,0.033836,0.000082,0.000123,0.000147,129296,4908448
0.010000,160000,0.033107,0.000029,0.000040,0.000122,130352,5070144
0.010000,165000,0.035161,0.000029,0.000037,0.000122,134896,5228416
0.010000,170000,0.040160,0.000044,0.000043,0.000132,139696,5386368
0.010000,175000,0.038402,0.000030,0.000039,0.000119,143888,5544992
0.010000,180000,0.039915,0.000029,0.000037,0.000122,148368,5703264
0.010000,185000,0.045339,0.000033,0.000041,0.000122,156016,5858368
0.010000,190000,0.043873,0.000031,0.000042,0.000122,156496,6020704
0.010000,195000,0.048553,0.000032,0.000042,0.000122,162608,6177344
0.010000,200000,0.050853,0.000058,0.000068,0.000139,166800,6335904
0.010000,205000,0.054288,0.000031,0.000043,0.000123,172944,6492576
0.010000,210000,0.061487,0.000029,0.000043,0.002298,175184,6653088
0.010000,215000,0.062962,0.000032,0.000043,0.000122,179856,6811168
0.010000,220000,0.066096,0.000081,0.000071,0.000171,184496,6969344
0.010000,225000,0.067438,0.000035,0.000093,0.000180,187408,7129184
0.010000,230000,0.076279,0.000033,0.000042,0.000123,192144,7287200
0.010000,235000,0.075226,0.000031,0.000044,0.000129,197488,7444736
0.010000,240000,0.077553,0.000056,0.000106,0.000124,200112,7604864
0.010000,245000,0.081623,0.000062,0.000074,0.000150,207504,7760224
0.010000,250000,0.080412,0.000029,0.000044,0.000122,209072,7921472
0.010000,255000,0.079889,0.000029,0.000043,0.000121,215312,8077984
0.010000,260000,0.083097,0.000032,0.000045,0.000129,218640,8237408
0.010000,265000,0.089707,0.000032,0.000044,0.000124,217072,8394048
0.010000,270000,0.084324,0.000048,0.000054,0.000140,219632,8554112
0.010000,275000,0.094731,0.000037,0.000044,0.000154,226096,8710272
0.010000,280000,0.097794,0.000039,0.000047,0.000124,229456,8869536
0.010000,285000,0.088932,0.000030,0.000045,0.000124,231184,9030432
0.010000,290000,0.093960,0.000031,0.000045,0.000126,236240,9188000
0.010000,295000,0.088724,0.000029,0.000043,0.000124,237104,9349760
0.010000,300000,0.097688,0.000040,0.000049,0.000124,245744,9503808
0.010000,305000,0.223055,0.000065,0.000080,0.000151,248976,9663136
0.010000,310000,0.142602,0.000083,0.000094,0.000183,254224,9820576
0.010000,315000,0.129755,0.000147,0.000081,0.000150,255536,9981888
0.010000,320000,0.133248,0.000041,0.000055,0.000127,262448,10137600
0.010000,325000,0.149058,0.000039,0.000054,0.000124,266448,10296224
0.010000,330000,0.119530,0.000040,0.000047,0.000127,273392,10451904
0.010000,335000,0.130122,0.000061,0.000047,0.000125,276496,10611424
0.010000,340000,0.154163,0.000082,0.000081,0.000155,284144,10766400
0.010000,345000,0.153811,0.000041,0.000051,0.000125,286896,10926272
0.010000,350000,0.155060,0.000039,0.000048,0.000123,288688,11087104
0.010000,355000,0.144258,0.000038,0.000049,0.000125,292080,11246400
0.010000,360000,0.154467,0.000073,0.000052,0.000126,297488,11403616
0.010000,365000,0.149613,0.000039,0.000049,0.000124,300688,11563040
0.010000,370000,0.154435,0.000040,0.000047,0.000125,309936,11716416
0.010000,375000,0.154567,0.000039,0.000047,0.000125,310800,11878176
0.010000,380000,0.150359,0.000041,0.000050,0.000131,315056,12036544
0.010000,385000,0.154153,0.000039,0.000118,0.000200,318320,12195904
0.010000,390000,0.182877,0.000041,0.000051,0.000126,323824,12353024
